"","title","male_vs_female","male_rating","genre","popular","budget","young","critics","reviews","male_vote_prop","male_votes","duration","year","male_gt_female","total_votes","comedy","drama"
"1","Kate & Leopold",-0.3,6.3,"Comedy",77368,4.8e+07,0.124588021366064,115,341,0.45208857832811,35196,118,2001,0,77852,"no","no"
"25","Le avventure di Ford Fairlane",0.4,6.5,"Action",16430,2e+07,0.0419352138612204,56,120,0.706337944897718,11947,104,1990,1,16914,"no","no"
"28","Air America",-0.2,5.8,"Action",26095,3.5e+07,0.0471574820300588,29,52,0.690921404116031,18364,113,1990,0,26579,"no","no"
"35","Ancora 48 ore",0.2,5.9,"Action",37140,3.8e+07,0.0574463393119671,33,81,0.72315543270253,27208,93,1990,1,37624,"no","no"
"36","Aracnofobia",0,6.4,"Comedy",61423,2.2e+07,0.0812561475901447,81,161,0.673316426252282,41683,109,1990,0,61907,"no","no"
"39","La ragazza dello slum",-0.5,5.1,"Crime",-290,2e+07,0.0569105691056911,4,3,0.634020618556701,123,96,1990,0,194,"no","no"
"43","Due nel mirino",-0.5,5.9,"Action",38762,2e+07,0.0522924901185771,35,68,0.644651684248076,25300,110,1990,0,39246,"no","no"
"48","Il falò delle vanità",0,5.6,"Comedy",20838,4.7e+07,0.0430638653123696,44,139,0.674139386549104,14374,125,1990,0,21322,"no","no"
"51","Re-Animator 2",-0.0999999999999996,6.2,"Comedy",12906,2e+06,0.0971393290800576,111,81,0.725765496639283,9718,96,1990,0,13390,"no","no"
"54","La bambola assassina 2",0,5.8,"Horror",43462,1.3e+07,0.206361097868283,78,214,0.66822919037,29366,84,1990,0,43946,"no","no"
"58","Club Fed",-0.5,3.5,"Comedy",-220,360000,0.0217391304347826,3,24,0.696969696969697,184,93,1990,0,264,"no","no"
"59","Benvenuti in paradiso",-0.5,6.6,"Drama",2031,17500000,0.051681195516812,9,41,0.638568588469185,1606,138,1990,0,2515,"no","no"
"66","Cry Baby",-0.5,6.3,"Comedy",53341,1.1e+07,0.12532535137949,50,168,0.428276823037622,23052,85,1990,0,53825,"no","no"
"68","666 il triangolo maledetto",0.0999999999999996,5,"Action",1624,1200000,0.0432060112711334,22,27,0.757590132827324,1597,87,1990,1,2108,"no","no"
"69","Darkman",0.2,6.4,"Action",56812,1.6e+07,0.0986923094790142,158,167,0.75141371125384,43053,96,1990,1,57296,"no","no"
"70","Giorni di tuono",0.3,6.1,"Action",77030,6e+07,0.0702076163824074,84,134,0.68227675000645,52886,107,1990,1,77514,"no","no"
"72","Colpi proibiti",-0.0999999999999996,5.7,"Action",16359,4e+06,0.07910924238885,39,78,0.762512616517248,12843,89,1990,0,16843,"no","no"
"76","Ore disperate",-0.199999999999999,5.4,"Action",6314,1.8e+07,0.051681195516812,39,59,0.70873786407767,4818,105,1990,0,6798,"no","no"
"77","Dick Tracy",0.2,6.2,"Action",56175,4.7e+07,0.0610964586587458,101,194,0.689263841578566,39053,105,1990,1,56659,"no","no"
"78","58 minuti per morire - Die Harder",0.100000000000001,7.2,"Action",329290,7e+07,0.18571150806063,163,365,0.717406466246581,236582,124,1990,1,329774,"no","no"
"82","Pronti a tutto",-0.100000000000001,5.8,"Action",1248,1e+07,0.033626901521217,6,11,0.721131639722864,1249,96,1990,0,1732,"no","no"
"85","Dream Trap",-1.2,5.7,"Comedy",-229,1150000,0.0915492957746479,2,3,0.556862745098039,142,90,1990,0,255,"no","no"
"88","Edward mani di forbice",-0.399999999999999,7.8,"Drama",436809,2e+07,0.234335970678192,102,664,0.546551168209873,239003,105,1990,0,437293,"no","no"
"101","Linea mortale",-0.2,6.6,"Drama",78238,2.6e+07,0.0663456180848523,55,177,0.638347602957242,50252,115,1990,0,78722,"no","no"
"106","Il boss e la matricola",-0.0999999999999996,6.4,"Comedy",17923,1.2e+07,0.0621536979041195,37,62,0.676536100396588,12453,102,1990,0,18407,"no","no"
"111","Ghost - Fantasma",-0.2,7,"Drama",191965,2.2e+07,0.130932030175778,97,305,0.559296229130835,107636,127,1990,0,192449,"no","no"
"113","Il padrino - Parte III",0,7.6,"Crime",349968,5.4e+07,0.231773816045018,114,660,0.687603437845982,240972,162,1990,0,350452,"no","no"
